2026-02-25 13:15:57.807 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #5 extraite: A VENDRE – Appartement S+3 Hau...
2026-02-25 13:15:58.571 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #6 extraite: A vendre Local Commercial de 1...
2026-02-25 13:15:59.347 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #7 extraite: S +3 Situé Au 1er étage...
2026-02-25 13:16:00.262 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #8 extraite: S +3 Rez De Chaussée Avec Jard...
2026-02-25 13:16:01.072 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #9 extraite: S +1 Situé Au Premier étage...
2026-02-25 13:16:01.841 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #10 extraite: S +2 au 4 éme étage...
2026-02-25 13:16:02.751 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #11 extraite: S +3 Situé Au 3ème étage Avec ...
2026-02-25 13:16:03.665 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #12 extraite: S+1 Situé Au 3ème étage...
2026-02-25 13:16:04.645 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #13 extraite: Un Très Spacieux S + 4 Avec Ja...
2026-02-25 13:16:05.360 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #14 extraite: 🏡 À vendre – Appartement S+1 a...
2026-02-25 13:16:06.287 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #15 extraite: 🏡 À vendre – Appartement S+2 a...
2026-02-25 13:16:07.316 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #16 extraite: 🏡 À vendre – Appartement S+1 a...
2026-02-25 13:16:08.013 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #17 extraite: 🏡 À vendre – Appartement S+3 a...
2026-02-25 13:16:08.650 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #18 extraite: 🏡 À vendre – Appartement S+3 a...
2026-02-25 13:16:09.422 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #19 extraite: 🏡 À vendre – Appartement S+1 a...
2026-02-25 13:16:10.241 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #20 extraite: 🏡 À vendre – Appartement S+4 a...
2026-02-25 13:16:10.987 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #21 extraite: À vendre – Appartement S+3 au ...
2026-02-25 13:16:11.739 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #22 extraite: À vendre – Appartement S+2 au ...
2026-02-25 13:16:12.393 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #23 extraite: À vendre – Appartement S+1 au ...
2026-02-25 13:16:13.373 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #24 extraite: Appartement S+3 – 2ᵉ étage | R...
2026-02-25 13:16:14.361 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #25 extraite: À vendre – Appartement S+3 au1...
2026-02-25 13:16:15.069 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #26 extraite: À vendre – Appartement S+1 au ...
2026-02-25 13:16:15.678 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #27 extraite: Appartement S+3 – 6ᵉ étage | R...
2026-02-25 13:16:16.593 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #28 extraite: Appartement S+3 – 3ᵉ étage | R...
2026-02-25 13:16:17.379 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #29 extraite: À louer | Appartement S+2 à Sa...
2026-02-25 13:16:18.097 | DEBUG    | __main__:extract_annonces_from_page:216 - ✅ Annonce #30 extraite: À louer – Appartement S+3 à Ka...
2026-02-25 13:16:18.098 | INFO     | __main__:scrape:432 - ✅ 30 annonces trouvées sur la page 3
2026-02-25 13:16:26.122 | INFO     | __main__:scrape:464 - 🎉 Scraping terminé: 90 annonces sur 3 pages
2026-02-25 13:16:30.012 | INFO     | __main__:scrape:475 - 🛑 Driver fermé
2026-02-25 13:16:30.014 | INFO     | __main__:run:486 - ✅ tayara terminé: 90 annonces
2026-02-25 13:16:30.202 | INFO     | __main__:run:510 - ⏱️  Temps d'exécution: 180.0 secondes
