source,url_annonce,type_bien,prix,date_insertion,gouvernorat,delegation,localite,code_postal,superficie,titre_foncier,vue_mer,terrain_viabilise,constructible,dimensions_terrain,facade,acces_route,acces_electricite,acces_eau,vocation
diarkoum,https://diarkoum.tn/details.php?id_annonce=14177,Terrain,60000,2024-07-31,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=8953,Terrain,111600,2024-07-30,Tunis,La Marsa,La Marsa,2070,180,Titre Bleu,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14164,Terrain,60000,2024-07-30,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14163,Terrain,60000,2024-07-30,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14162,Terrain,60000,2024-07-30,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14154,Terrain,60000,2024-07-28,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14153,Terrain,60000,2024-07-28,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14152,Terrain,60000,2024-07-28,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14151,Terrain,60000,2024-07-28,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14150,Terrain,60000,2024-07-28,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14149,Terrain,60000,2024-07-28,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14148,Terrain,60000,2024-07-28,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14137,Terrain,60000,2024-07-26,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14134,Terrain,60000,2024-07-25,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14130,Terrain,60000,2024-07-25,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14129,Terrain,60000,2024-07-25,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14124,Terrain,60000,2024-07-25,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14120,Terrain,60000,2024-07-25,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14117,Terrain,60000,2024-07-25,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14116,Terrain,60000,2024-07-25,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14113,Terrain,60000,2024-07-24,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14111,Terrain,60000,2024-07-24,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14107,Terrain,60000,2024-07-24,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14103,Terrain,60000,2024-07-24,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14099,Terrain,60000,2024-07-24,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14098,Terrain,60000,2024-07-24,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
diarkoum,https://diarkoum.tn/details.php?id_annonce=14097,Terrain,60000,2024-07-24,Nabeul,Kélibia,Kélibia,8000,250,Non,Non,Non,Oui,,,Non,Non,Oui,Résidentielle
