source,url_annonce,type_bien,gouvernorat,delegation,localite,code_postal,prix,surface,date_insertion,nbre_chambres,nbre_sdb,niveau,piscine,jardin,garage,parking,balcon,climatisation,chauffage_central,dressing,titre_foncier,etat,standing,vue_mer,terrasse
behya.tn,https://www.behya.tn/tunisie-annonces/villa-neuve-a-la-zone-touristique-mezraya-ref-v640-2/,Maison/Villa,Medenine,Djerba,Djerba,6100,950000,496,2 août 2024,1,1,,Oui,Oui,,,,,,Oui,,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-avec-piscine-a-mezraya-djerba-ref-v620-3/,Maison/Villa,Medenine,Djerba,Djerba,6100,850000,185,1 août 2024,,,,Oui,,,,Oui,,,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s5-avec-piscine-a-la-marsa-mvl0024/,Maison/Villa,Tunis,la marsa,la marsa,2070,12000,,25 juillet 2024,5,1,,Oui,Oui,,Oui,,Oui,Oui,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-neuve-a-la-zone-touristique-mezraya-ref-v640/,Maison/Villa,Medenine,Djerba,Djerba,6100,950000,496,17 juillet 2024,1,1,,Oui,Oui,,,,,,Oui,,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-haut-de-gamme-a-mezraya-ref-v621/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,507,3 juillet 2024,1,1,,Oui,Oui,Oui,,,,,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-avec-piscine-a-djerba-aghir-ref-v681/,Maison/Villa,Medenine,Djerba,Djerba,6100,958000,625,1 juillet 2024,1,1,,Oui,Oui,Oui,,,Oui,Oui,Oui,Bleu,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s4-avec-piscine-a-la-marsa-mvv0284/,Maison/Villa,Tunis,la marsa,la marsa,2070,2300000,,22 juin 2024,4,1,,Oui,Oui,Oui,,,Oui,Oui,Oui,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-avec-piscine-a-mezraya-djerba-ref-v620/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,185,22 juin 2024,,,,Oui,,,,Oui,,,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s4-avec-piscine-a-gammarth-mvv0142/,Maison/Villa,Tunis,gammarth,gammarth,1000,1750000,,15 juin 2024,4,1,,Oui,Oui,Oui,,,Oui,Oui,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-neuve-a-la-zone-touristique-djerba-ref-v640/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,496,12 juin 2024,1,1,,Oui,Oui,,,,,,Oui,,,,Oui,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/vente-dune-villa-en-cours-de-construction-a-djerba/,Maison/Villa,Medenine,Houmt Souk Djerba,Houmt Souk Djerba,6100,250000,,5 juin 2024,3,1,,Oui,Oui,,,,,,,,,,Oui,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s5-a-la-soukra-zvv0273/,Maison/Villa,Ariana,la soukra,la soukra,ariana,1900000,,5 juin 2024,5,1,,,Oui,,,,Oui,Oui,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/villa-s3-vue-sur-mer-avec-piscine-a-carthage-mvl0319/,Maison/Villa,Tunis,ain zaghwene,ain zaghwene,1000,8000,,2 juin 2024,3,1,,Oui,Oui,Oui,,,Oui,Oui,Oui,,,,Oui,
behya.tn,https://www.behya.tn/tunisie-annonces/vente-villa-avec-piscine-a-mezraya-djerba-ref-v620-3/,Maison/Villa,Medenine,Djerba,Djerba,6100,1,185,2 juin 2024,,,,Oui,,,,Oui,,,Oui,,,,,Oui
behya.tn,https://www.behya.tn/tunisie-annonces/villa-en-cours-de-construction-a-vendre-opportunite-a-saisir/,Maison/Villa,Medenine,Houmt Souk Djerba,Houmt Souk Djerba,6100,250000,143,28 mai 2024,3,1,21627502372,Oui,,,,,,,,,,,,
behya.tn,https://www.behya.tn/tunisie-annonces/une-villa-avec-une-tres-belle-vue-de-mer-a-vendre-a-djerba/,Maison/Villa,Medenine,Houmt Souk Djerba,Houmt Souk Djerba,6100,420000,180,28 mai 2024,5,2,,Oui,,,,,,,,,,,Oui,
