source_site,site_url,title,price_numeric,price_text,property_type,location,city,region,link,publication_date,with_photo,description,metadata
tayara,https://www.tayara.tn,S +3 Situé Au 3ème étage Avec Terrasse,,Prix non spécifié,Immobilier,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/el-menzah-9/s-3-situ-au-3me-tage-avec-terrasse/68e9104453fa637575796784/,2026-02-25 13:14:19.689126,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:19.689126""}"
tayara,https://www.tayara.tn,S+1 Situé Au 3ème étage,,Prix non spécifié,Immobilier,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/el-menzah-9/s1-situ-au-3me-tage/68e8e47453fa637575794475/,2026-02-25 13:14:20.500847,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:20.500847""}"
tayara,https://www.tayara.tn,Un Très Spacieux S + 4 Avec Jardin Et Piscine,,Prix non spécifié,Immobilier,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/tunis/tunis/un-trs-spacieux-s-4-avec-jardin-et-piscine/68e913a93e7ffb8ac157f3fb/,2026-02-25 13:14:21.465709,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:21.465709""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+1 au RDC haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s1-au-rdc-haut-standing-la-rsidence-ella-2-el-ghazella/684fd8056596a8a5dfbdfaf7/,2026-02-25 13:14:22.080472,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:22.080472""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+2 au 1 er étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s2-au-1-er-tage-haut-standing-la-rsidence-ella-2-el-ghazella/685144018a733cfc286ca595/,2026-02-25 13:14:22.785769,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:22.785769""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+1 au 3 ème étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s1-au-3-me-tage-haut-standing-la-rsidence-ella-2-el-ghazella/685131e70e1c20e3eb0bdfc9/,2026-02-25 13:14:23.622405,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:23.622405""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+3 au 2 éme étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s3-au-2-me-tage-haut-standing-la-rsidence-ella-2-el-ghazella/685159800e1c20e3eb0c0adb/,2026-02-25 13:14:24.626969,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:24.626969""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+3 au 4 éme étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s3-au-4-me-tage-haut-standing-la-rsidence-ella-2-el-ghazella/68515e430e1c20e3eb0c0fe1/,2026-02-25 13:14:25.675810,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:25.675810""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+1 au 5 ème étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s1-au-5-me-tage-haut-standing-la-rsidence-ella-2-el-ghazella/68513fd88a733cfc286ca113/,2026-02-25 13:14:26.317703,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:26.318795""}"
tayara,https://www.tayara.tn,🏡 À vendre – Appartement S+4 au 5 éme étage haut standing à la Résidence ELLA 2 – El Ghazella,,Prix non spécifié,Appartement,Tunisie,,,https://www.tayara.tn/item/immobilier-neuf/ariana/ghazela/-vendre-appartement-s4-au-5-me-tage-haut-standing-la-rsidence-ella-2-el-ghazella/685161e30e1c20e3eb0c1474/,2026-02-25 13:14:27.202900,True,,"{""extracted_with"": ""selenium"", ""timestamp"": ""2026-02-25T13:14:27.202900""}"
